Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Montesinos, José Vinicio",57196478749,4,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Environmental Science
Chemical Engineering
Chemistry
Medicine
",
"Quiñonez-Cuenca, Felipe",58095780100,1,"Engineering
Computer Science
",
"Cisneros, María A.",57202691387,1,"Psychology
Arts and Humanities
",
"Rodríguez Quintana, Tamara",57194188964,2,"Medicine
Social Sciences
",
"Bustamante Bustamante, Diego",57327683600,1,"Computer Science
",
"Ojeda, Luis Rojas",57219657712,1,"Computer Science
",
"Jaramillo, Alan",57195153837,1,"Veterinary
",
"Wood, Jorge Berástegui",56263888900,1,"Arts and Humanities
Social Sciences
",
"Carrión Mogrovejo, J.",57211324682,1,"Physics and Astronomy
Materials Science
Mathematics
Engineering
Computer Science
",
"Capa-Cobos, Luis Fernando",57317625400,1,"Chemical Engineering
",
"Rodríguez, Jhon F.",57327833000,2,"Computer Science
Social Sciences
",
"Vega Solano, Marcos A.",57215612207,2,"Business, Management and Accounting
Social Sciences
Economics, Econometrics and Finance
",
"Mendoza, Danilo",57222705528,1,"Engineering
Social Sciences
Computer Science
",
"Morales, Jose",57203432938,1,"Computer Science
",
"Ramón, Marlon",57190673168,9,"Computer Science
Social Sciences
Mathematics
Economics, Econometrics and Finance
Environmental Science
Engineering
Physics and Astronomy
Energy
Chemistry
",0000-0001-6621-2661
"Ochoa, José Francisco",57216629093,1,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Rodríguez, Fausto Vinicio López",55848966500,3,"Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Social Sciences
",
"Macas-Mogrovejo, Johanna Katherine",57220198046,1,"Computer Science
Decision Sciences
",
"Lucero, Hernán",57948771600,1,"Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
",
"González, J.",57683149200,1,"Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
",
"Sarango, Nixon Cuenca",57210834101,1,"Arts and Humanities
",
"Calderon-Cordova, Carlos",56755362100,32,"Computer Science
Engineering
Physics and Astronomy
Energy
Mathematics
Social Sciences
Agricultural and Biological Sciences
Decision Sciences
",0000-0002-7071-7088
"Rogel, Rivera D.",57916975400,1,"Social Sciences
",
"Chamba, Washington",55791444900,1,"Computer Science
",
"Ordóñez, Jessica",56996882400,4,"Social Sciences
Economics, Econometrics and Finance
Earth and Planetary Sciences
Environmental Science
",
"Simaluiza, Janneth",57222896053,1,"Medicine
",
"Jaramillo H, Danilo",36668388200,14,"Computer Science
Social Sciences
Engineering
Mathematics
Decision Sciences
",0000-0002-2395-4427
"Armijos-Buitrón, Verónica Alexandra",57190666663,19,"Computer Science
Business, Management and Accounting
Decision Sciences
Social Sciences
Engineering
",0000-0003-2302-2619
"Carvallo-Jaramillo, Pablo",57273259200,1,"Computer Science
",
"Herrera, Ana",57232174100,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Chamba-Leiva, Katy",57215087719,1,"Computer Science
",
"Gallegos, Ana Poma",58160875000,1,"Computer Science
Decision Sciences
",
"Paladines-Costa, Belén",57219448794,5,"Environmental Science
Computer Science
Medicine
Psychology
",
"Mendieta Herrera, Julia",58163188300,1,"Environmental Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
",
"Ludena, Marlon Santiago Vinan",57193953383,1,"Engineering
Computer Science
",
"Lapo Pauta, Carmen Mireya",57885576400,1,"Agricultural and Biological Sciences
Social Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
",
"Guajala, Darwin",57203957717,1,"Business, Management and Accounting
Decision Sciences
",
"Albuja, R.",57191530931,1,"Agricultural and Biological Sciences
Environmental Science
",
"Cueva, Eduardo",54886708600,8,"Agricultural and Biological Sciences
Environmental Science
Decision Sciences
Biochemistry, Genetics and Molecular Biology
",
"Encarnación Ordoñez, Sandra",58096949800,1,"Social Sciences
",
"Saa, L. R.",6504567347,9,"Veterinary
Agricultural and Biological Sciences
Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
",0000-0002-4395-8660
"Jiménez, Silvana",57203414279,1,"Social Sciences
Economics, Econometrics and Finance
",
"Loor, Cecibel Monserrate Velez",57274029500,1,"Computer Science
",
"Ludeña-Reyes, Alex Paul",57192104042,5,"Business, Management and Accounting
Computer Science
Engineering
Decision Sciences
",0000-0001-9898-472X
"Torres, Carlos",57216092065,1,"Computer Science
",
"Bermeo-Cevallos, María Alejandra",57817323200,1,"Computer Science
",
"Veloz, Oscar A.",57205217691,1,"Agricultural and Biological Sciences
Environmental Science
",
"Salazar, Luis",57530626100,1,"Computer Science
",
"Burneo, Belén Sotomayor",57214450859,1,"Environmental Science
",
"Danilo, Jaramillo H.",57202939075,1,"Computer Science
",
"Morocho, Elsa",57195313260,1,"Computer Science
",
"Rodríguez-Morales, Germania",57199262448,26,"Computer Science
Engineering
Social Sciences
Mathematics
Decision Sciences
Physics and Astronomy
Energy
Multidisciplinary
",0000-0001-8932-9213
"Sarmiento-Andrade, Yoredy",57947669600,2,"Agricultural and Biological Sciences
Nursing
Medicine
",
"Kevin, Jiménez Peña",57817063200,1,"Computer Science
",
"Sotomayor-Burneo, Stellamaris",57211076441,1,"Chemistry
Chemical Engineering
Computer Science
Social Sciences
",
"García, Juan Manuel",56921726400,5,"Social Sciences
Environmental Science
Computer Science
Agricultural and Biological Sciences
Engineering
",0000-0003-2515-2900
"Carrión, Katty Yadira Paucar",57210474638,3,"Computer Science
",
"Vega, Alexandra Moncayo",57052295300,1,"Engineering
Environmental Science
",
"Espinoza-Torres, Diana",57202941374,2,"Business, Management and Accounting
Computer Science
",
"Sarmiento, Santiago",57202940046,1,"Computer Science
",
"Zelaya-Policarpo, Elmer",57194976403,16,"Computer Science
Business, Management and Accounting
Decision Sciences
Engineering
",
"Martínez Haro, Alison Catherine",55786288500,1,"Social Sciences
",
"Cano, Jhonny",57218385387,1,"Computer Science
",
"Arias Jiménez, B.",58020719100,1,"Decision Sciences
Computer Science
",
"Rojas A, Henrry",57567454300,1,"Multidisciplinary
",
"Cortes, Salvador",57195316746,1,"Computer Science
",0000-0003-3744-5364
"Tenesaca-Luna, Gladys Alicia",57195316749,10,"Computer Science
Engineering
Energy
Social Sciences
Mathematics
Decision Sciences
",
"Valladolid-Salinas, Edin H.",57606210900,1,"Multidisciplinary
",
"Cabrera-Loayza, Ma Carmen",57192433415,7,"Computer Science
Social Sciences
Engineering
Mathematics
Arts and Humanities
Energy
Medicine
",
"Vélez-Mora, Diego P.",57193497695,6,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
",
"Morillo, Juan",57202939284,1,"Computer Science
",
"Jaramillo, Mishell",57211524753,1,"Computer Science
",
"Enríquez-Mora, María Eugenia",57817601200,1,"Computer Science
",
"Burneo, Nicole Febres",58056061500,1,"Chemistry
",
"Mayancela, Ronald",57210265638,1,"Computer Science
",
"Sanmartin, Carlos",57212628824,1,"Computer Science
",
"Sarango, Roger",57207036921,3,"Energy
Mathematics
Agricultural and Biological Sciences
Decision Sciences
Physics and Astronomy
Engineering
Computer Science
",0000-0003-0750-1169
"Juárez, A. Sánchez",57214450887,1,"Environmental Science
",
"Juca Aulestia, José Marcelo",57211486845,5,"Business, Management and Accounting
Computer Science
Engineering
Decision Sciences
",0000-0003-3982-8721
"Burneo, Ma Elvira Aguirre",57191090224,1,"Psychology
Social Sciences
",
"Guamán Balcázar, María C.",56728590800,10,"Biochemistry, Genetics and Molecular Biology
Chemistry
Physics and Astronomy
Chemical Engineering
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Engineering
Health Professions
Materials Science
Social Sciences
",0000-0002-3395-3727
"Sinche Gutiérrez, Numan Alfredo",57192424937,1,"Arts and Humanities
Social Sciences
",
"Barrazueta, Patricio",57214797578,4,"Arts and Humanities
Computer Science
Social Sciences
",
"Briceño Ojeda, Viviana A.",57886273500,1,"Agricultural and Biological Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
",
"Estevao-Romeiro, Artieres",57377719400,1,"Multidisciplinary
",
"Morocho-Quezada, Mary",57189457938,1,"Social Sciences
Computer Science
Decision Sciences
",
"Celly, Stephany",57148180100,1,"Computer Science
",0000-0003-4771-947X
"Flores, Marilu",57215436376,1,"Energy
Engineering
",
"Armijos-Valdivieso, Ramiro",57192103376,5,"Mathematics
Computer Science
Social Sciences
Engineering
",0000-0003-1743-7105
"Romero, Nashelly",57202943542,1,"Computer Science
",
"González, Paúl",56239589700,14,"Social Sciences
Arts and Humanities
Engineering
Business, Management and Accounting
Economics, Econometrics and Finance
",0000-0003-1964-2671
"Mahauad-Burneo, María Dolores",57192105550,6,"Computer Science
Business, Management and Accounting
Engineering
Decision Sciences
Economics, Econometrics and Finance
Social Sciences
Mathematics
",
"Riofrío-Cuenca, Tania Elizabet",56340568400,3,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Chemistry
Medicine
",
"Elizabeth Medina-Alvarado, Rosa",57200640227,2,"Engineering
Physics and Astronomy
Materials Science
",
"Tinitana, Fani",57190122700,5,"Social Sciences
Environmental Science
Agricultural and Biological Sciences
Medicine
Multidisciplinary
",0000-0003-3389-0241
"Samaniego, René J.",57197788339,5,"Physics and Astronomy
Computer Science
Materials Science
Engineering
Mathematics
Medicine
",
"Carpio, Lilia",58033364000,1,"Arts and Humanities
",
"Pinza-Tapia, Eliana",57387771000,1,"Social Sciences
",
"Uchuari, Veronica",57216880416,1,"Engineering
Environmental Science
",
"Espinoza-Loayza, Viviana",57190661383,6,"Computer Science
Mathematics
Engineering
Social Sciences
Arts and Humanities
Economics, Econometrics and Finance
Decision Sciences
",0000-0001-8575-276X
"Alvarado-Camacho, Paquita Esperanza",57195312156,3,"Computer Science
",
"Arias, Daniela",56462342200,3,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
",0000-0002-1389-2031
"Balcázar-Arciniega, Cristian",57197734727,4,"Social Sciences
Engineering
Materials Science
Physics and Astronomy
Environmental Science
",0000-0003-4720-9998
"Reyes, Maleny Gabriela",57193578007,2,"Social Sciences
Arts and Humanities
",
"Morocho-Yaguana, Marco",57202766315,5,"Computer Science
Engineering
Mathematics
",
"Mendoza, Katherine",57194341910,1,"Earth and Planetary Sciences
",
"Calva, Mónica",57222705560,3,"Computer Science
Mathematics
Social Sciences
Engineering
Medicine
Decision Sciences
",
"Pineda, Edgar Puglla",57218588964,3,"Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
",
"Núñez, Deiber",57903864500,1,"Earth and Planetary Sciences
",
"Ludeña, Jeannette",57427883600,1,"Agricultural and Biological Sciences
Environmental Science
",
"Castro, José Raúl",57007668500,7,"Computer Science
Energy
Engineering
Mathematics
Decision Sciences
",
"Massa-Sánchez, Priscilla",57200323027,9,"Environmental Science
Social Sciences
Computer Science
Mathematics
Energy
Earth and Planetary Sciences
Economics, Econometrics and Finance
Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
",
"Capa-Mora, Edwin D.",57200130982,14,"Agricultural and Biological Sciences
Medicine
Social Sciences
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Earth and Planetary Sciences
Economics, Econometrics and Finance
Environmental Science
Computer Science
",0000-0003-2880-1873
"Aguilar-Cárdenas, Diego",57222168663,1,"Engineering
",
"Zambrano, Andrés Leonardo Pérez",57218596592,1,"Medicine
",
"Tapia, Rebeca Córdova",57195313215,2,"Computer Science
",
"Ochoa-Moreno, Wilman Santiago",57194453420,12,"Computer Science
Environmental Science
Social Sciences
Energy
Business, Management and Accounting
Economics, Econometrics and Finance
Agricultural and Biological Sciences
",
"Rivera, Anderson",57202941359,1,"Computer Science
",
"Deyanira, Andrade Vargas Lucy",57272298600,2,"Computer Science
",
"Montalván, Mayra",57205485416,5,"Agricultural and Biological Sciences
Environmental Science
",
"Mera-Parra, Christian",57223981584,2,"Environmental Science
",
"Riofrío, Lorena",56018847700,3,"Agricultural and Biological Sciences
",
"Guzmán Rojas, Jonathan",58096178400,1,"Social Sciences
Engineering
",
"Mora-Medina, María",58055850100,1,"Chemistry
",
"Lapo, C. Mireya",57194558886,1,"Engineering
",
"Guaya, Diana",55102808100,22,"Environmental Science
Chemical Engineering
Chemistry
Energy
Materials Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Engineering
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Physics and Astronomy
Social Sciences
",0000-0002-5872-7208
"Capa, Luis Fernando",57225082143,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Gutiérrez Valle, I. A.",57188643834,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Valdiviezo-Abad, Cesibel",57191901739,9,"Computer Science
Social Sciences
Business, Management and Accounting
Arts and Humanities
Decision Sciences
",
"Lopez-Vargas, Jorge",57212786213,17,"Computer Science
Social Sciences
Engineering
Decision Sciences
Mathematics
",0000-0001-5305-7762
"Maza, Luz",57191196556,2,"Materials Science
Physics and Astronomy
Chemistry
Chemical Engineering
",
"Griffith, Daniel M.",26659951500,25,"Environmental Science
Agricultural and Biological Sciences
Multidisciplinary
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Medicine
Veterinary
",0000-0001-6870-9727
"Karla Romero, G.",57223284419,1,"Computer Science
",
"Lucero Mosquera, Hernán Patricio",55202321100,2,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
",
"Rodriguez-Ludena, Vanessa",57219794466,1,"Social Sciences
Engineering
Computer Science
Energy
Mathematics
",
"Romero, Freddy",57197832084,1,"Computer Science
",
"Castillo-Cuesta, Luz Mercedes",56239677000,17,"Social Sciences
Engineering
Arts and Humanities
Business, Management and Accounting
Economics, Econometrics and Finance
Computer Science
",0000-0002-4755-8242
"Tamay, José",57189869016,6,"Earth and Planetary Sciences
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
Computer Science
",0000-0002-8856-1579
"Marín-Armijos, Diego S.",56586156800,8,"Agricultural and Biological Sciences
Environmental Science
",0000-0001-7138-3916
"Montaño, Angel",57431768800,1,"Agricultural and Biological Sciences
Environmental Science
",
"Contreras-Jaramillo, Mario Andrés",57203430789,3,"Business, Management and Accounting
Social Sciences
Arts and Humanities
Decision Sciences
",0000-0002-9227-5452
"Salinas-Sagbay, Pedro",57215929739,1,"Mathematics
Computer Science
",
"Castillo, Andrea Estefanía Bedoya",57727051600,1,"Social Sciences
Environmental Science
",
"Benitez, Veronica Altamirano",57202940014,1,"Computer Science
",
"Chamba-Ontaneda, María",57214930731,1,"Social Sciences
Earth and Planetary Sciences
",
"Ochoa, Blanca",57192917060,1,"Computer Science
Engineering
Medicine
",
"Morales Sinchire, Dayana Beatriz",57219114930,1,"Agricultural and Biological Sciences
",
"Maza, Byron P.",55351721200,3,"Computer Science
Engineering
Mathematics
Materials Science
",
"Benítez, Jhoana Elizabeth Paladines",57447108100,3,"Computer Science
Engineering
Social Sciences
",
"Uzcátegui Sánchez, Carolina",57202511589,2,"Business, Management and Accounting
Decision Sciences
",
"Pineda-Cabrera, Nairoby Jackeline",57484285200,2,"Psychology
",
"González, Michelle A.",57198487608,2,"Business, Management and Accounting
Computer Science
Decision Sciences
",
